tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,activity_range,target
127862.33333333331,2496.7777777777665,-1.6456767291865242,125365.55555555556,2496.777777777781,-1.6455054209750446,2365.0,-1.652275316614658,-1.4551915228366852e-11,-0.00017130821147959274,0.0,0,0.0
130359.11111111112,2496.777777777781,-1.6447095360900306,127862.33333333331,2496.7777777777665,-1.6456767291865242,2496.7777777777774,-1.648272000018626,1.4551915228366852e-11,0.0009671930964936237,0.0,0,0.0
132855.88888888888,2496.7777777777665,-1.6557308784501563,130359.11111111112,2496.777777777781,-1.6447095360900306,2496.7777777777737,-1.6479056411754391,-1.4551915228366852e-11,-0.011021342360125752,0.0,0,0.0
135352.66666666666,2496.777777777781,-1.6623359395912913,132855.88888888888,2496.7777777777665,-1.6557308784501563,2496.7777777777737,-1.6521132708295005,1.4551915228366852e-11,-0.006605061141135016,0.0,0,0.0
137849.44444444444,2496.777777777781,-1.657856677244492,135352.66666666666,2496.777777777781,-1.6623359395912913,2496.7777777777774,-1.6551582578439925,0.0,0.004479262346799295,0.0,0,0.0
140346.22222222222,2496.777777777781,-1.65864594424045,137849.44444444444,2496.777777777781,-1.657856677244492,2496.7777777777774,-1.6586423598815976,0.0,-0.0007892669959579379,0.0,0,0.0
142843.0,2496.777777777781,-1.634029262240635,140346.22222222222,2496.777777777781,-1.65864594424045,2496.777777777781,-1.6532169558292171,0.0,0.024616681999815038,0.0,0,0.0
148464.0,5621.0,-1.5439775977604402,142843.0,2496.777777777781,-1.634029262240635,3277.8333333333358,-1.6236273703715043,3124.222222222219,0.09005166448019475,0.0,0,0.0
154085.0,5621.0,-1.587437344406305,148464.0,5621.0,-1.5439775977604402,4058.8888888888905,-1.6060225371619574,0.0,-0.04345974664586483,0.0,0,0.0
159211.125,5126.125,-1.6247867231330628,154085.0,5621.0,-1.587437344406305,4716.225694444445,-1.5975577318851106,-494.875,-0.03734937872675781,0.0,0,0.0
164337.25,5126.125,-1.630232655119965,159211.125,5126.125,-1.6247867231330628,5373.5625,-1.5966085801049434,0.0,-0.0054459319869022416,0.0,0,0.0
169463.375,5126.125,-1.627418195238517,164337.25,5126.125,-1.630232655119965,5249.84375,-1.6174687294744625,0.0,0.002814459881448128,0.0,0,0.0
174589.5,5126.125,-1.6020336917199691,169463.375,5126.125,-1.627418195238517,5126.125,-1.6211178163028785,0.0,0.02538450351854782,0.0,0,0.0
179715.625,5126.125,-1.6068490439771785,174589.5,5126.125,-1.6020336917199691,5126.125,-1.6166333965139075,0.0,-0.004815352257209415,0.0,0,0.0
184841.75,5126.125,-1.6107438670780818,179715.625,5126.125,-1.6068490439771785,5126.125,-1.6117611995034364,0.0,-0.0038948231009032774,0.0,0,0.0
189967.875,5126.125,-1.6094683008341961,184841.75,5126.125,-1.6107438670780818,5126.125,-1.6072737259023564,0.0,0.0012755662438856952,0.0,0,0.0
195094.0,5126.125,-1.4510699483081495,189967.875,5126.125,-1.6094683008341961,5126.125,-1.5695327900494016,0.0,0.15839835252604662,0.0,0,0.0
211560.0,16466.0,-1.3247656003049373,195094.0,5126.125,-1.4510699483081495,7961.09375,-1.499011929131341,11339.875,0.12630434800321222,0.0,0,1.0
228026.0,16466.0,-1.2571802945994515,211560.0,16466.0,-1.3247656003049373,10796.0625,-1.4106210360116838,0.0,0.06758530570548582,0.0,1,0.0
244492.0,16466.0,-1.337928929205854,228026.0,16466.0,-1.2571802945994515,13631.03125,-1.342736193104598,0.0,-0.08074863460640258,0.0,0,0.0
265950.0,21458.0,-1.4217921752968365,244492.0,16466.0,-1.337928929205854,17714.0,-1.3354167498517697,4992.0,-0.0838632460909825,0.0,0,0.0
270155.0,4205.0,-1.439288561724383,265950.0,21458.0,-1.4217921752968365,14648.75,-1.3640474902066313,-17253.0,-0.017496386427546362,0.0,0,0.0
274360.0,4205.0,-1.476848829450507,270155.0,4205.0,-1.439288561724383,11583.5,-1.4189646239193952,0.0,-0.0375602677261242,0.0,0,0.0
279187.3333333333,4827.333333333314,-1.5199818119682498,274360.0,4205.0,-1.476848829450507,8673.833333333328,-1.4644778446099942,622.3333333333139,-0.04313298251774267,0.0,0,0.0
284014.6666666667,4827.333333333372,-1.542438192671618,279187.3333333333,4827.333333333314,-1.5199818119682498,4516.1666666666715,-1.4946393489536896,5.820766091346741e-11,-0.022456380703368195,0.0,0,0.0
288842.0,4827.333333333314,-1.5456982734564302,284014.6666666667,4827.333333333372,-1.542438192671618,4671.75,-1.5212417768867013,-5.820766091346741e-11,-0.0032600807848122138,0.0,0,0.0
295765.4761904762,6923.476190476213,-1.5389178646106774,288842.0,4827.333333333314,-1.5456982734564302,5351.369047619053,-1.5367590356767438,2096.1428571428987,0.006780408845752817,0.0,0,0.0
302688.9523809524,6923.476190476154,-1.5329662915948137,295765.4761904762,6923.476190476213,-1.5389178646106774,5875.404761904763,-1.5400051555833847,-5.820766091346741e-11,0.005951573015863687,0.0,0,0.0
309612.4285714286,6923.476190476213,-1.526612050093479,302688.9523809524,6923.476190476154,-1.5329662915948137,6399.440476190473,-1.5360486199388501,5.820766091346741e-11,0.006354241501334679,0.0,0,0.0
316535.90476190473,6923.476190476154,-1.5492484902342938,309612.4285714286,6923.476190476213,-1.526612050093479,6923.476190476184,-1.536936174133316,-5.820766091346741e-11,-0.022636440140814784,0.0,0,0.0
323459.38095238095,6923.476190476213,-1.5604406901476682,316535.90476190473,6923.476190476154,-1.5492484902342938,6923.476190476184,-1.5423168805175635,5.820766091346741e-11,-0.01119219991337439,0.0,0,0.0
330382.8571428572,6923.476190476213,-1.5613714102412282,323459.38095238095,6923.476190476213,-1.5604406901476682,6923.476190476198,-1.5494181601791674,0.0,-0.0009307200935599891,0.0,0,0.0
337306.3333333333,6923.476190476154,-1.5668128227821498,330382.8571428572,6923.476190476213,-1.5613714102412282,6923.476190476184,-1.559468353351335,-5.820766091346741e-11,-0.005441412540921675,0.0,0,0.0
344229.8095238095,6923.476190476213,-1.5668686440811526,337306.3333333333,6923.476190476154,-1.5668128227821498,6923.476190476198,-1.5638733918130496,5.820766091346741e-11,-5.5821299002722924e-05,0.0,0,0.0
351153.28571428574,6923.476190476213,-1.5560284662594424,344229.8095238095,6923.476190476213,-1.5668686440811526,6923.476190476198,-1.5627703358409932,0.0,0.010840177821710206,0.0,0,0.0
358076.7619047619,6923.476190476154,-1.5666956225994744,351153.28571428574,6923.476190476213,-1.5560284662594424,6923.476190476184,-1.5641013889305546,-5.820766091346741e-11,-0.010667156340032014,0.0,0,0.0
365000.2380952381,6923.476190476213,-1.5727940296831324,358076.7619047619,6923.476190476154,-1.5666956225994744,6923.476190476198,-1.5655966906558003,5.820766091346741e-11,-0.006098407083658053,0.0,0,0.0
371923.7142857143,6923.476190476213,-1.578986832709732,365000.2380952381,6923.476190476213,-1.5727940296831324,6923.476190476198,-1.5686262378129454,0.0,-0.006192803026599636,0.0,0,0.0
378847.1904761905,6923.476190476154,-1.5594250227924498,371923.7142857143,6923.476190476213,-1.578986832709732,6923.476190476184,-1.569475376946197,-5.820766091346741e-11,0.01956180991728229,0.0,0,0.0
385770.6666666667,6923.476190476213,-1.4061214325906755,378847.1904761905,6923.476190476154,-1.5594250227924498,6923.476190476198,-1.5293318294439975,5.820766091346741e-11,0.1533035902017743,0.0,0,0.0
392694.1428571429,6923.476190476154,-1.3847012934496066,385770.6666666667,6923.476190476213,-1.4061214325906755,6923.476190476184,-1.482308645385616,-5.820766091346741e-11,0.021420139141068884,0.0,0,0.0
399617.6190476191,6923.476190476213,-1.4232618781820525,392694.1428571429,6923.476190476154,-1.3847012934496066,6923.476190476184,-1.4433774067536962,5.820766091346741e-11,-0.038560584732445946,0.0,0,0.0
406541.09523809527,6923.476190476213,-1.4611844877950209,399617.6190476191,6923.476190476213,-1.4232618781820525,6923.476190476198,-1.4188172730043387,0.0,-0.03792260961296834,0.0,0,0.0
413464.5714285714,6923.476190476154,-1.460451899951781,406541.09523809527,6923.476190476213,-1.4611844877950209,6923.476190476184,-1.4323998898446153,-5.820766091346741e-11,0.0007325878432398181,0.0,0,0.0
420388.0476190476,6923.476190476213,-1.4775003251098044,413464.5714285714,6923.476190476154,-1.460451899951781,6923.476190476198,-1.4555996477596647,5.820766091346741e-11,-0.017048425158023406,0.0,0,0.0
427311.5238095238,6923.476190476154,-1.4756531987204382,420388.0476190476,6923.476190476213,-1.4775003251098044,6923.476190476184,-1.4686974778942612,-5.820766091346741e-11,0.0018471263893662382,0.0,0,0.0
434235.0,6923.476190476213,-1.4643405945791772,427311.5238095238,6923.476190476154,-1.4756531987204382,6923.476190476184,-1.4694865045903003,5.820766091346741e-11,0.011312604141261007,0.0,0,0.0
445987.3333333333,11752.333333333314,-1.4516975191080355,434235.0,6923.476190476213,-1.4643405945791772,8130.690476190473,-1.4672979093793637,4828.857142857101,0.01264307547114174,0.0,0,0.0
457739.6666666667,11752.333333333372,-1.4608515367485653,445987.3333333333,11752.333333333314,-1.4516975191080355,9337.904761904763,-1.463135712289054,5.820766091346741e-11,-0.00915401764052981,0.0,0,0.0
469492.0,11752.333333333314,-1.4525619319445822,457739.6666666667,11752.333333333372,-1.4608515367485653,10545.119047619053,-1.45736289559509,-5.820766091346741e-11,0.008289604803983108,0.0,0,0.0
